1,エネルギー,kcal,2650,2000
2,水分,g,2250,2250
3,たんぱく質,g,60,50
4,脂質,g,66.25,50
5,炭水化物,g,380.9375,287.5
6,灰分,g,3.159,2.662
7,ナトリウム,mg,1500.0,1500.0
8,カリウム,mg,2500,2000
9,カルシウム,mg,650,650
10,マグネシウム,mg,370,290
11,リン,mg,1000,800
12,鉄,mg,7.5,10.5
13,亜鉛,mg,10,8
14,銅,mg,1,0.8
15,マンガン,mg,4,3.5
16,ヨウ素,μg,130,130
17,セレン,μg,30,25
18,クロム,μg,10,10
19,モリブデン,μg,30,25
20,ビタミンA,μg,900,700
21,ビタミンD,μg,5.5,5.5
22,ビタミンE,mg,6.5,6
23,ビタミンK,μg,150,150
24,ビタミンB1,mg,1.4,1.1
25,ビタミンB2,mg,1.6,1.2
26,ナイアシン,mg,15,12
27,ビタミンB6,mg,1.4,1.2
28,ビタミンB12,μg,2.4,2.4
29,葉酸,μg,240,240
30,パントテン酸,mg,5,4
31,ビオチン,μg,50,50
32,ビタミンC,mg,100,100
